code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
07_0004,Cinnamon ground,দারচিনি গুঁড়া,1,243,1010,10.6,4,1.2,27.5,53.1,3.6,1000,8.3,60,64,431,10,1.83,0.34,,,,,,,,,,,,"87,88"
07_0005,Cloves dried,লবঙ্গ,1,267,1100,25.2,5.2,8.9,27.4,28.1,5.2,740,4.9,215,86,847,230,1.93,0.31,,,,,,,,,,,,"87,88"
07_0006,Coriander leaves ,ধনে পাতা,0.7,30,125,87.9,3.3,0.5,0.1,5.9,2.2,160,1.4,34,30,396,58,0.32,0.14,,,,,,,,,,,,"87,88"
07_0007,Coriander seed dry,ধনিয়া,1,336,1390,11.2,14.1,16.1,13.4,40.8,4.4,630,17.9,322,398,1230,34,4.58,0.95,,,,,,,,,,,,"87,88"
07_0008,Cumin seeds,জিরা,1,402,1680,10,18.3,17.6,37.2,10.5,6.4,1020,44.5,404,507,1380,148,3.89,0.96,,,,,,,,,,,,"87,88"
07_0009,Fennel seeds,মৌরি,1,329,1360,8.3,15.8,14.9,13,39.8,8.2,1200,16.4,387,495,1680,88,3.7,1.07,,,,,,,,,,,,"87,88"
07_0010,Fenugreek seeds,মেথি,1,330,1380,10.7,21.8,6.9,32.8,24.6,3.2,155,23.6,181,318,710,55,4.7,1.46,,,,,,,,,,,,"87,88"
07_0011,Ginger root ,আদা,0.86,72,303,81.1,1.9,0.8,13.3,2,0.9,17,1.1,40,32,387,12,0.36,0.17,,,,,,,,,,,,"87,88"
07_0012,Indian pennywort ,থানকুনি পাতা,0.9,37,152,84.5,2.3,0.5,1.6,8.7,2.6,119,3.2,56,45,508,200,1.84,0.3,,,,,,,,,,,,"87,88"
07_0013,Lemon grass ,লেমন গ্রাস,,,,,,,,,,50,2.8,60,30,196,9,0.6,0.08,,,,,,,,,,,,"87,88"
07_0014,Lemon peel ,লেবুর খোসা,1,65,272,77.8,1.6,0.4,8.7,10.6,1,306,0.9,15,12,160,6,0.25,0.09,,,,,,,,,,,,"87,88"
07_0015,Mace ground,জয়ত্রী গুঁড়া,1,415,1720,15.9,6.5,24.4,33.1,18.5,1.6,180,12.6,213,100,424,73,1.26,1.56,,,,,,,,,,,,"87,88"
07_0016,Nutmeg dried,জয়ফল,0.85,480,1980,14.3,7.5,36.4,21.1,19,1.7,120,4.6,229,240,320,15,1.22,0.71,5,0,61,0,0,0.33,0.01,1.4,0.146,69,0,"90,91"
07_0017,Pepper black,গোলমরিচ,1,302,1260,11.7,11.8,3.3,43.5,25.3,4.4,443,16.7,185,167,1280,36,1.34,1.2,27,0,329,0,0.72,0.11,0.2,1.1,0.34,14,0,"90,91"
07_0018,Poppy seeds,পোস্ত দানা,1,523,2160,5.7,17.2,43.1,6.8,19.5,7.7,1490,9.6,339,860,710,24,9.05,1.63,0,0,0,0,2.72,0.85,0.14,5.1,0.55,82,1,"90,91"
07_0019,Spearmint leaves fresh,পুদিনা পাতা,0.45,35,143,87.4,3,0.7,0.6,6.9,1.4,110,15.6,42,62,355,30,1.76,0.15,62,0,740,0,5,0.09,0.26,0.9,0.158,114,22,"90,91"
07_0020,Turmeric dried,হলুদ,1,335,1400,11.5,6.9,8.4,47.3,21.1,4.8,168,33.2,192,279,2720,35,3.78,0.8,1,0,15,0,3.1,0.09,0.17,4.4,1.8,39,0,"90,91"
08_0001,Apple without skin ,আপেল খোসা ছাড়া,0.77,51,215,86.7,0.3,0.1,11.5,1.3,0.2,5,0.1,4,11,90,0,0.05,0.03,2,0,24,0,0.05,0.02,0.03,0.1,0.037,0,4,"97,98,99"
08_0002,Apple with skin ,আপেল খোসা সহ,0.9,62,262,83.3,0.3,0.2,13.5,2.4,0.2,6,0.1,5,11,107,1,0.04,0.03,3,0,33,0,0.18,0.09,0.03,0.1,0.041,3,4,"97,98,99"
08_0003,Asian pears ,নাশপাতি,0.85,62,259,83,0.6,0.3,12.3,3.6,0.2,6,0.5,8,11,131,6,0.08,0.06,0,0,0,0,0.12,0.03,0.03,0.2,0.022,8,3.8,"97,98,99"
08_0004,Banana Sagar ripe ,সাগর কলা,0.74,95,400,75.2,1.3,0.8,19.2,2.6,0.8,11,0.3,23,36,411,10,0.24,0.09,2,0,21,0,0.75,0.05,0.08,0.9,0.105,20,1,"97,98,99"
08_0005,Breadfruit ,মাদার,0.78,70,293,79.5,1.5,0.2,13,4.9,0.9,40,0.5,25,30,490,2,0.12,0.08,2,0,24,0,0.1,0.04,0.07,0.9,0.1,14,21,"97,98,99"
08_0006,Bullocks Heart ripe ,নোনা আতা,0.72,81,340,76.8,1.4,0.2,15.7,5.2,0.7,,,,,,,,,,,,,,,,,,,,"97,98,99"
08_0007,Carambola ,কামরাঙ্গা,1,41,172,88.7,0.5,0.7,6.7,2.8,0.5,10,0.8,19,23,128,4,0.38,0.12,7,0,80,0,0.15,0.12,0.04,0.5,0.017,12,49.4,"97,98,99"
08_0008,Custard apple ,আতাফল,0.45,85,357,76.1,1.8,0.3,16.6,4.4,0.9,17,1,25,47,366,9,0.33,0.09,,,,,,,,,,,,"97,98,99"
